-9.554 -9.939
-9.554 -9.791
-9.554 -9.643
-9.554 -9.494
-9.554 -9.346
-9.554 -9.198
-9.554 -9.05
-9.554 -8.902
-9.554 -8.754
-9.554 -8.606
-9.554 -8.457
-9.554 -8.309
-9.554 -8.161
-9.554 -8.013
-9.554 -7.865
-9.554 -7.717
-9.554 -7.568
-9.554 -7.42
-9.554 -7.272
-9.554 -7.124
-9.554 -6.976
-9.554 -6.828
-9.554 -6.68
-9.554 -6.531
-9.554 -6.383
-9.554 -6.235
-9.554 -6.087
-9.554 -5.939
-9.554 -5.791
-9.554 -5.642
-9.554 -5.494
-9.554 -5.346
-9.554 -5.198
-9.554 -5.05
-9.554 -4.902
-9.554 -4.753
-9.554 -4.605
-9.554 -4.457
-9.554 -4.309
-9.554 -4.161
-9.554 -4.013
-9.554 -3.865
-9.554 -3.716
-9.554 -3.568
-9.554 -3.42
-9.554 -3.272
-9.554 -3.124
-9.554 -2.976
-9.554 -2.827
-9.554 -2.679
-9.554 -2.531
-9.554 -2.383
-9.554 -2.235
-9.554 -2.087
-9.554 -1.939
-9.554 -1.79
-9.554 -1.642
-9.554 -1.494
-9.554 -1.346
-9.554 -1.198
-9.554 -1.05
-9.554 -0.901
-9.554 -0.753
-9.554 -0.605
-9.554 -0.457
-9.554 -0.309
-9.554 -0.161
-9.554 -0.012
-9.554 0.136
-9.554 0.284
-9.554 0.432
-9.554 0.58
-9.554 0.728
-9.554 0.876
-9.554 1.025
-9.554 1.173
-9.554 1.321
-9.554 1.469
-9.554 1.617
-9.554 1.765
-9.554 1.914
-9.554 2.062
-9.554 2.21
-9.554 2.358
-9.554 2.506
-9.554 2.654
-9.554 2.802
-9.554 2.951
-9.554 3.099
-9.554 3.247
-9.554 3.395
-9.554 3.543
-9.554 3.691
-9.554 3.84
-9.554 3.988
-9.554 4.136
-9.554 4.284
-9.554 4.432
-9.554 4.58
-9.554 4.729
-9.382 -9.939
-9.382 -9.791
-9.382 -9.643
-9.382 -9.494
-9.382 -9.346
-9.382 -9.198
-9.382 -9.05
-9.382 -8.902
-9.382 -8.754
-9.382 -8.606
-9.382 -8.457
-9.382 -8.309
-9.382 -8.161
-9.382 -8.013
-9.382 -7.865
-9.382 -7.717
-9.382 -7.568
-9.382 -7.42
-9.382 -7.272
-9.382 -7.124
-9.382 -6.976
-9.382 -6.828
-9.382 -6.68
-9.382 -6.531
-9.382 -6.383
-9.382 -6.235
-9.382 -6.087
-9.382 -5.939
-9.382 -5.791
-9.382 -5.642
-9.382 -5.494
-9.382 -5.346
-9.382 -5.198
-9.382 -5.05
-9.382 -4.902
-9.382 -4.753
-9.382 -4.605
-9.382 -4.457
-9.382 -4.309
-9.382 -4.161
-9.382 -4.013
-9.382 -3.865
-9.382 -3.716
-9.382 -3.568
-9.382 -3.42
-9.382 -3.272
-9.382 -3.124
-9.382 -2.976
-9.382 -2.827
-9.382 -2.679
-9.382 -2.531
-9.382 -2.383
-9.382 -2.235
-9.382 -2.087
-9.382 -1.939
-9.382 -1.79
-9.382 -1.642
-9.382 -1.494
-9.382 -1.346
-9.382 -1.198
-9.382 -1.05
-9.382 -0.901
-9.382 -0.753
-9.382 -0.605
-9.382 -0.457
-9.382 -0.309
